Дата,Достоинства,Недостатки,Краткое содержание,Полный отзыв
27 мар 2024,"Достоинства: Лёгкий и удобный способ применения. Идеально открывать счета и делать вклады, удобное приложение, приветливые сотрудники банка, не навязчивые",Недостатки: Связь и интернет,"Пользуюсь банком Тинькофф довольно долго, ""то могу сказать, есть здесь как плюсы, так и минусы. Например: Брала кредит наличными, тут ничего не могу сказать плохого, всё очень даже хорошо, скажем прекрасно. Небольшие проценты и много...","Пользуюсь банком Тинькофф довольно долго, ""то могу сказать, есть здесь как плюсы, так и минусы. Например: Брала кредит наличными, тут ничего не могу сказать плохого, всё очень даже хорошо, скажем прекрасно. Небольшие проценты и много..."
27 мар 2024,"Достоинства: Кэшбек, разные скидки в магазинах.",Недостатки: Не нашел.,"Перевел зарплату на этот банк. Карту оформил через приложение на телефоне. На вопросы служба поддержки ответила быстро, помогли уладить проблемы по приложению. Карту привезли в назначенный день, очень надушенный духами парень. Пользоваться удобно, коплю кэшбек,","Перевел зарплату на этот банк. Карту оформил через приложение на телефоне. На вопросы служба поддержки ответила быстро, помогли уладить проблемы по приложению. Карту привезли в назначенный день, очень надушенный духами парень. Пользоваться удобно, коплю кэшбек,"
27 мар 2024,Достоинства: Очень удобный и простой в использовании личный кабинет.,Недостатки: Минусов у банка Тинькофф нет!,"Здравствуйте! Хотела бы написать о банке Тинькофф. По моему мнению это самый лучший банк, так как у банка Тинькофф очень хороший кэшбэк. И повышенный кэшбэк всегда в самых нужных магазинах и приложениях. Очень хорошая поддержка...","Здравствуйте! Хотела бы написать о банке Тинькофф. По моему мнению это самый лучший банк, так как у банка Тинькофф очень хороший кэшбэк. И повышенный кэшбэк всегда в самых нужных магазинах и приложениях. Очень хорошая поддержка..."
27 мар 2024,Достоинства: ФССП не снимают и не кладут арест,Недостатки: Нету,"Всем Здравствуйте. Хотел бы порекомендовать лучший банк ТИНЬКОФФ, на мой взгляд это лучший банк России, мы с женой пользуемся только им, ведь ему можно доверять! Благодаря ему наши кровные деньги остаются у нас без какого...","Всем Здравствуйте. Хотел бы порекомендовать лучший банк ТИНЬКОФФ, на мой взгляд это лучший банк России, мы с женой пользуемся только им, ведь ему можно доверять! Благодаря ему наши кровные деньги остаются у нас без какого..."
27 мар 2024,"Достоинства: Бесплатное обслуживание,кэшбэк,не нужно стоять в очередях и многое другое",Недостатки: Нету,"Здравствуйте! Около года мы с супругом являемся клиентами банка Тинькофф. И с уверенностью могу сказать что это тот банк, который делает все для удобства своих клиентов, учитывая их предпочтения. Не нужно топать в банк и...","Здравствуйте! Около года мы с супругом являемся клиентами банка Тинькофф. И с уверенностью могу сказать что это тот банк, который делает все для удобства своих клиентов, учитывая их предпочтения. Не нужно топать в банк и..."
27 мар 2024,Достоинства: Хороший кэшбэк,Недостатки: Не обнаружено,"Хочу поделиться своим опытом использования дебетовой и кредитной карт Тинькофф банка. Сначала я долго боялась оформлять, потому что в нашем городе нет офиса Тинькофф банка (только обратиться можно в онлайн чате). Решила рискнуть, потому что...","Хочу поделиться своим опытом использования дебетовой и кредитной карт Тинькофф банка. Сначала я долго боялась оформлять, потому что в нашем городе нет офиса Тинькофф банка (только обратиться можно в онлайн чате). Решила рискнуть, потому что..."
26 мар 2024,"Достоинства: Высокий кешбэк, удобное приложение где можно взять кредит или хранить свои средства","Недостатки: Не обноружено, все супер","При оформлении бесплатно привезли карту на следующий день, оформили сим карту бесплатно с выгодными условиями, высокий кешбэк, поддержка 24/7;","При оформлении бесплатно привезли карту на следующий день, оформили сим карту бесплатно с выгодными условиями, высокий кешбэк, поддержка 24/7;"
26 мар 2024,"Достоинства: Кэшбэк на все товары.  Бесплатное открытие вкладов, накопительных счетов.  Возможность инвестировать.","Недостатки: Не обнаружил, всем доволен.","Здравствуйте, хотел бы порекомендовать вам Тинькофф банк - самый удобный и выгодный на сегодняшний день. Пользуюсь сам почти год и очень доволен обслуживанием, никакими банками более не пользуюсь. Некоторые бонусы при пользовании банком: -При оформлении...","Здравствуйте, хотел бы порекомендовать вам Тинькофф банк - самый удобный и выгодный на сегодняшний день. Пользуюсь сам почти год и очень доволен обслуживанием, никакими банками более не пользуюсь. Некоторые бонусы при пользовании банком: -При оформлении..."
26 мар 2024,Достоинства: Приятно получать кэшбэк за то что ты просто пользуешься картой Тинькофф,Недостатки: Не оказалось,"Лучший российский коммерческий банк, сфокусированный полностью на дистанционном обслуживании, не имеющий розничных отделений. У данного банка есть и бонусы и кэшбэк, который ежемесячно начисляются на счёт. Ежемесячно можно выбирать категории для начисления кэшбэк!","Лучший российский коммерческий банк, сфокусированный полностью на дистанционном обслуживании, не имеющий розничных отделений. У данного банка есть и бонусы и кэшбэк, который ежемесячно начисляются на счёт. Ежемесячно можно выбирать категории для начисления кэшбэк!"
26 мар 2024,Достоинства: Кэшбэки,Недостатки: Нет,Дорогие друзья хочу вам предложить банк Тинькофф удобно пользоваться и всегда есть кэшбэки. Всегда есть скидки почти на все товары. А также удобно интернет-банк и есть инвестиции Тинькофф. И в подарок идёт кошелёк.,Дорогие друзья хочу вам предложить банк Тинькофф удобно пользоваться и всегда есть кэшбэки. Всегда есть скидки почти на все товары. А также удобно интернет-банк и есть инвестиции Тинькофф. И в подарок идёт кошелёк.
